"STATEFIP","total_su","stname","stusps"
"1",14934,"Alabama","AL"
"4",50694,"Arizona","AZ"
"5",2421,"Arkansas","AR"
"6",126518,"California","CA"
"8",424,"Colorado","CO"
"9",27817,"Connecticut","CT"
"10",8307,"Delaware","DE"
"11",4665,"District of Columbia","DC"
"12",27386,"Florida","FL"
"15",3136,"Hawaii","HI"
"16",2413,"Idaho","ID"
"17",5135,"Illinois","IL"
"18",22822,"Indiana","IN"
"19",18627,"Iowa","IA"
"21",32152,"Kentucky","KY"
"22",6188,"Louisiana","LA"
"24",53114,"Maryland","MD"
"25",26278,"Massachusetts","MA"
"26",170544,"Michigan","MI"
"27",84144,"Minnesota","MN"
"28",0,"Mississippi","MS"
"29",32374,"Missouri","MO"
"30",18910,"Montana","MT"
"31",107,"Nebraska","NE"
"32",2892,"Nevada","NV"
"34",36257,"New Jersey","NJ"
"35",30732,"New Mexico","NM"
"36",26216,"New York","NY"
"37",0,"North Carolina","NC"
"38",3559,"North Dakota","ND"
"39",111472,"Ohio","OH"
"40",12247,"Oklahoma","OK"
"41",43323,"Oregon","OR"
"42",66591,"Pennsylvania","PA"
"44",11367,"Rhode Island","RI"
"45",14023,"South Carolina","SC"
"46",2930,"South Dakota","SD"
"47",32807,"Tennessee","TN"
"48",66673,"Texas","TX"
"49",5120,"Utah","UT"
"50",0,"Vermont","VT"
"51",40194,"Virginia","VA"
"53",12395,"Washington","WA"
"54",7499,"West Virginia","WV"
"55",4744,"Wisconsin","WI"
"56",1755,"Wyoming","WY"
"72",1496,NA,NA
"99",148,NA,NA
"2",NA,"Alaska","AK"
"13",NA,"Georgia","GA"
"20",NA,"Kansas","KS"
"23",NA,"Maine","ME"
"33",NA,"New Hampshire","NH"
