"state_code","su","mh","state","population","st","year"
"OR",0.721674794941767,0.542435303387603,"Oregon",4240137,41,2022
"PA",0.569688208641253,0.514184080059155,"Pennsylvania",12972008,42,2022
"PR",NA,NA,NA,NA,NA,2022
"RI",0.77715422579896,0.576008426180406,"Rhode Island",1093734,44,2022
"SC",0.272591286846675,0.238517375990841,"South Carolina",5282634,45,2022
"SD",0.747397298818233,0.549556837366348,"South Dakota",909824,46,2022
"TN",0.567268145808902,0.470832561021389,"Tennessee",7051339,47,2022
"TX",0.245091738237228,0.173495646224994,"Texas",30029572,48,2022
"UT",1.18315191670611,1.05300520586843,"Utah",3380800,49,2022
"VA",0.445666720292542,0.429544409997721,"Virginia",8683619,51,2022
"VT",1.05090068370362,1.23635374553367,"Vermont",647064,50,2022
"WA",0.73852530752836,0.544582139812217,"Washington",7785786,53,2022
"WI",0.61603325832888,0.86041008807918,"Wisconsin",5892539,55,2022
"WV",0.974562235657035,0.822462927201891,"West Virginia",1775156,54,2022
"WY",1.16962886644042,0.877221649830318,"Wyoming",581381,56,2022
"ZZ",NA,NA,NA,NA,NA,2022
